# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
120,2.62497562,1.16123814
120,2.63810015,1.21348610
120,2.65216231,1.27745678
120,2.66278684,1.35036228
120,2.67403633,1.42302260
120,2.69122323,1.49213161
120,2.74997126,1.69066034
120,2.76872053,1.72308611
120,2.81371887,1.77309523
120,2.83246815,1.76947051
120,2.87215442,1.73614039
120,2.89715319,1.68817927
120,2.93746421,1.58523365
120,2.96840060,1.48458854
120,3.02058646,1.28917950
120,3.17714323,0.68139491
120,3.19995488,0.60587621

